gene1	gene2	cellType	quadrant
0	0	NaturalKillerCells	KO_infected
0	1.97392259817695	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0.883497124122184	0	TCells2	KO_infected
0	0	TCells1	KO_infected
0	0	TCells1	KO_infected
1.06597686304597	1.21775517375284	TCells2	KO_infected
0	0	OtherLymphoidCells	KO_infected
1.00741972091808	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
1.01825024521029	2.28663181137711	TCells3	KO_infected
0.759770652628877	0	TCells2	KO_infected
0	0	TCells1	KO_infected
1.53393035992596	0	TCells2	KO_infected
1.67293001205702	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells1	KO_infected
0	0	OtherLymphoidCells	KO_infected
0.882789948505998	0	NaturalKillerCells	KO_infected
0.63960730936781	1.52234184406307	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0.417800974529102	TCells1	KO_infected
1.87807991480892	1.32719881969858	TCells3	KO_infected
0	0	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
1.05146850631947	0	TCells1	KO_infected
0.832344310720145	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
1.17507578641441	0	TCells3	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0	TCells2	KO_infected
0	0	OtherLymphoidCells	KO_infected
0.96698074734105	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0	0	OtherLymphoidCells	KO_infected
0	0.806682957596589	TCells1	KO_infected
0	0	TCells1	KO_infected
0.749796805368833	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	KO_infected
1.4518903455172	0	OtherLymphoidCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0	1.91030652243617	TCells2	KO_infected
0	2.02537432040956	TCells3	KO_infected
0	2.08393888924808	TCells3	KO_infected
0	0.697449777558216	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
1.05310650569035	0	TCells2	KO_infected
0.306741104770143	0	TCells1	KO_infected
0.499310281847395	2.24268631182313	TCells1	KO_infected
0.658268739940538	0	TCells2	KO_infected
0	1.03119059034626	TCells1	KO_infected
0	1.7566407607858	TCells3	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	NaturalKillerCells	KO_infected
0.711224911979902	0	TCells1	KO_infected
0	0	NaturalKillerCells	KO_infected
0.83699411218198	0	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0.725057257078004	0	OtherLymphoidCells	KO_infected
0.451404066202014	2.25735089918069	TCells2	KO_infected
0	1.27452096617254	TCells2	KO_infected
0	0	NaturalKillerCells	KO_infected
0	0	OtherLymphoidCells	WT_uninfected
0	2.60822737184429	TCells3	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0	2.28895191579476	TCells3	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0.556272122338452	2.29555043599056	TCells3	WT_uninfected
0	0	TCells1	WT_uninfected
0	2.25763190120974	TCells3	WT_uninfected
0	0	TCells1	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0	0	TCells2	WT_uninfected
0	0	TCells1	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0	0	TCells1	WT_uninfected
0	3.41451353215092	TCells3	WT_uninfected
0	0	TCells1	WT_uninfected
0	0	TCells1	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0	3.63985951276893	TCells3	WT_uninfected
0	0	TCells1	WT_uninfected
0	0	TCells2	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0	2.26343330584442	TCells3	WT_uninfected
0	0	TCells1	WT_uninfected
0	3.27338473299462	TCells3	WT_uninfected
0	0.887702545955825	TCells1	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0	0	TCells1	WT_uninfected
0	2.89793340988764	TCells3	WT_uninfected
0	3.40483265748769	TCells3	WT_uninfected
0	2.9001441038336	TCells3	WT_uninfected
0.649235408448556	0	TCells1	WT_uninfected
0.135725854714122	0.458355687983152	TCells1	WT_uninfected
0	2.51999796959927	TCells3	WT_uninfected
0	1.38681959092	TCells1	WT_uninfected
0	3.02863048098383	TCells3	WT_uninfected
0	0	TCells2	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0	0	OtherLymphoidCells	WT_uninfected
0	0	OtherLymphoidCells	KO_uninfected
0	0	TCells2	KO_uninfected
0	2.88985770806398	TCells3	KO_uninfected
1.46935717081651	0	TCells2	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	OtherLymphoidCells	KO_uninfected
0	0	NaturalKillerCells	KO_uninfected
0	0	TCells1	KO_uninfected
0	0	TCells2	KO_uninfected
0	2.11041095256371	TCells3	KO_uninfected
0.667566403063994	0	TCells3	KO_uninfected
0	2.37547280874254	TCells3	KO_uninfected
0	0	OtherLymphoidCells	KO_uninfected
0	0	NaturalKillerCells	KO_uninfected
0	0	TCells2	KO_uninfected
1.52528980416927	0	OtherLymphoidCells	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	TCells2	KO_uninfected
0.889240461871397	0	NaturalKillerCells	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	OtherLymphoidCells	KO_uninfected
0	0	TCells1	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	TCells2	KO_uninfected
0.845473458512868	0	OtherLymphoidCells	KO_uninfected
1.0764471048401	0	OtherLymphoidCells	KO_uninfected
0	2.62318580610769	TCells3	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	TCells1	KO_uninfected
0	0	OtherLymphoidCells	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	TCells1	KO_uninfected
0	0	OtherLymphoidCells	KO_uninfected
0	0	TCells2	KO_uninfected
0	1.60164370269758	TCells3	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	OtherLymphoidCells	KO_uninfected
0.464450004476517	0	TCells3	KO_uninfected
0	0	TCells2	KO_uninfected
0	0	OtherLymphoidCells	WT_infected
0	0.637708592854251	TCells2	WT_infected
1.12563602551421	1.32872759399968	TCells3	WT_infected
1.10498601034601	0	OtherLymphoidCells	WT_infected
0	0	TCells2	WT_infected
0.75334852194678	0	NaturalKillerCells	WT_infected
0	0	OtherLymphoidCells	WT_infected
0	0	TCells2	WT_infected
0	2.481746533563	TCells2	WT_infected
0	0	OtherLymphoidCells	WT_infected
1.44789475143138	0	TCells2	WT_infected
0	1.84807577775508	TCells3	WT_infected
0	0	NaturalKillerCells	WT_infected
0	1.41019207912794	TCells2	WT_infected
0	1.84027879503334	TCells2	WT_infected
1.22706059189603	0	TCells2	WT_infected
