cell	expression
Fibroblasts2	2.24698934594934
Fibroblasts1	3.77889564210692
Fibroblasts2	2.52224285400539
Fibroblasts1	3.52396944156624
Fibroblasts1	4.03016918082627
Fibroblasts1	4.28386602728682
Fibroblasts2	2.42760979422757
Fibroblasts1	1.97469697126974
Fibroblasts1	3.43410106339131
Fibroblasts1	3.03128597709759
Fibroblasts2	0.891229172249388
Fibroblasts2	2.23284851693176
Fibroblasts1	3.10252109919077
