UMAP_1	UMAP_2	genotype
4.42324026999016	-3.36213751080972	WT
-5.83494607034187	-2.81222744229775	WT
-5.84904519143562	-2.6885206246708	WT
5.73335513052483	-2.56358547452432	WT
8.98265990194817	2.7362133717205	WT
-4.32484284463386	-2.87232418302041	WT
8.09772452291985	2.67951528784293	WT
8.80506857809563	1.89063210841674	WT
9.50973566946526	2.26595747527141	WT
5.06807383474846	-3.58254738095742	WT
7.29687317785759	1.6245817398693	WT
-5.59648600640754	-2.93463297131997	WT
-6.54235068383674	-0.993446781668482	WT
-6.08764210763435	-1.37259025815469	WT
8.10784682211419	2.29473514911193	WT
8.30925902304192	2.42625923511046	WT
-5.18500414910774	-2.15861053708535	WT
8.27285441336174	1.84048983510989	WT
-5.35457364144783	-2.15797872785073	WT
6.8381272214367	1.70220251437682	WT
8.34958609518547	1.94718712624568	WT
8.98499926504631	1.19934843536872	WT
8.82127818045159	2.61050491091269	WT
9.25361021933098	2.41543991920012	WT
9.05168684896965	2.19337871727008	WT
9.60544356283684	1.90728411134738	WT
7.39691504416008	1.76719348188895	WT
8.90402182516594	2.5244489466812	WT
-5.47692433419685	-3.01894970181924	WT
9.34852847036858	1.65678037759322	WT
-5.86195460381965	-1.92913742307168	WT
5.00510081228753	-3.51546354535562	WT
9.36279162344475	2.18012408968467	WT
7.14969071325798	1.73949571010131	WT
7.77288493093987	1.60718597527999	WT
-5.45324507775764	-2.49599619153482	WT
5.60947569784661	-2.76824159863931	WT
-3.30161109986763	0.554978296723547	WT
-5.75732890191536	-1.62115664723855	WT
9.21947058615227	2.1981844535138	WT
4.4995246785595	-3.29989404920083	WT
8.76142271933098	2.60554491039771	WT
4.72531041082879	-3.73334522489053	WT
4.00680025991936	-2.63339300397378	WT
4.62925204214592	-2.21604986432534	WT
4.03407105383416	-2.80809850934487	WT
-5.17291346612434	-3.14126034024697	WT
4.02614029821892	-2.73779459241372	WT
9.01631506857415	2.40644164439696	WT
-5.04617587151985	-3.19492788556558	WT
-5.27533856454353	-3.01336593869668	WT
4.01403435644646	-1.6440596127842	WT
4.74486979422112	-3.1975857758854	WT
4.32668885168572	-2.99280281308633	WT
8.71859988150139	1.05295185801047	WT
-5.89579573693733	-2.37589950803262	WT
8.93684729513665	1.60209281798858	WT
9.13961657461663	2.29636567887324	WT
8.62534769949456	1.88737757560271	WT
4.93792256292839	-2.95663995984536	WT
-5.58277455392341	-2.57376594785195	WT
9.7196584599926	2.1776051824953	WT
-5.31210986199836	-2.81632681134683	WT
4.2684923070385	-2.76956243756753	WT
4.48018034872551	-2.99839086774331	WT
8.56647833761711	2.02314809021014	WT
8.89929255423088	1.9131702041294	WT
8.70471438345452	1.98934091683883	WT
9.58077773031731	1.99869124647635	WT
8.3656774419262	2.77601896282691	WT
7.82385214743157	2.02168478127974	WT
8.79314764914055	1.78231243845481	WT
4.50729426321526	-3.33458967450601	WT
4.77253874716301	-3.11568279508096	WT
8.70421656546135	2.30895492490787	WT
9.01489218649407	2.56891618725318	WT
9.2528673070385	1.73627741691131	WT
-3.09761897149543	0.228756353821935	WT
8.09647139486809	2.30163985547084	WT
5.13148507055779	-3.37274236920815	WT
5.26979264196892	-3.12015838864785	WT
8.21638926443596	1.85762544032592	WT
5.3943730252697	-3.19277973416787	WT
-5.25771704736213	-3.0697314286564	WT
4.26478728231926	-3.04669924024087	WT
-5.12805501046638	-1.65909166577798	WT
8.93823012289544	2.72703455444831	WT
4.37625893530388	-2.63560743573648	WT
9.33485278067131	2.41083438750762	WT
-4.36784831109504	-3.4158532166813	WT
8.59372767385979	2.31718821879882	WT
4.91977080282708	-2.23942871335488	WT
5.34612187323113	-2.97310514691812	WT
9.47689684805413	2.31136111971396	WT
8.01622256216545	2.60601513144034	WT
-5.82939187112312	-2.82331104520303	WT
-1.16635078611831	2.21676719244975	WT
5.16436013159295	-3.86460752728921	WT
9.34480055746575	1.79777805563468	WT
6.70736416754265	1.33475343939322	WT
-3.53307715478401	0.47883467432517	WT
6.91759785589714	1.86109185275096	WT
8.17433127340813	2.17877057250995	WT
4.2434998410656	-2.20815534833413	WT
4.50468834814568	-3.40075798276406	WT
-5.08732024255256	-3.09229011777383	WT
4.29520949301262	-1.80061502698403	WT
-5.47764483514289	-2.05207367185098	WT
-1.04627374234657	2.35232852455634	WT
6.00420578894158	-2.29901046994668	WT
9.75233515676995	1.98331207093257	WT
5.03829726156731	-3.48315973523599	WT
-3.25084749284248	-0.035551741156397	WT
-2.97879258218269	-1.55067320111733	WT
-5.48873654427986	-2.79481048825723	WT
-4.93750706735115	-2.32761974576455	WT
8.21163710531731	1.82250304576415	WT
-5.07346716943244	-3.09645195249063	WT
