quadrant	cells	gene	expression	x
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.4480192246221	Stat1 All WT_infected
WT_infected	All	Stat1	0.922606955897848	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.18224114360462	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.69580615486276	Stat1 All WT_infected
WT_infected	All	Stat1	0.511573407157315	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.50766526428627	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.956201210657652	Stat1 All WT_infected
WT_infected	All	Stat1	1.08610389648411	Stat1 All WT_infected
WT_infected	All	Stat1	1.00412040650469	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.07441126367457	Stat1 All WT_infected
WT_infected	All	Stat1	2.07429610670219	Stat1 All WT_infected
WT_infected	All	Stat1	0.945387979892461	Stat1 All WT_infected
WT_infected	All	Stat1	1.1834186486677	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.60259320426758	Stat1 All WT_infected
WT_infected	All	Stat1	0.728645141190988	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.03351825892398	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.95472445007769	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.985120251652208	Stat1 All WT_infected
WT_infected	All	Stat1	0.962357643740535	Stat1 All WT_infected
WT_infected	All	Stat1	1.30171238101293	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.24273516075903	Stat1 All WT_infected
WT_infected	All	Stat1	1.02668425142892	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.758199608195567	Stat1 All WT_infected
WT_infected	All	Stat1	1.18428381466939	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.580346989936255	Stat1 All WT_infected
WT_infected	All	Stat1	1.0626186860202	Stat1 All WT_infected
WT_infected	All	Stat1	1.44939008287489	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.29445497233799	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.30366335251413	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.905683539298597	Stat1 All WT_infected
WT_infected	All	Stat1	1.61619197847266	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.799572522182638	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.74512940930022	Stat1 All WT_infected
WT_infected	All	Stat1	0.99008935790577	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.71012801883481	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.649759672446354	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.1817447580415	Stat1 All WT_infected
WT_infected	All	Stat1	0.766647827530018	Stat1 All WT_infected
WT_infected	All	Stat1	0.527127339540714	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.500560684863318	Stat1 All WT_infected
WT_infected	All	Stat1	0.605114851273541	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.481929140842266	Stat1 All WT_infected
WT_infected	All	Stat1	2.22340555473068	Stat1 All WT_infected
WT_infected	All	Stat1	0.444668591170815	Stat1 All WT_infected
WT_infected	All	Stat1	0.404633507228638	Stat1 All WT_infected
WT_infected	All	Stat1	0.800359800068845	Stat1 All WT_infected
WT_infected	All	Stat1	0.608914016569832	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.23173906870366	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.317532562358856	Stat1 All WT_infected
WT_infected	All	Stat1	1.61112003230127	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.931402831615858	Stat1 All WT_infected
WT_infected	All	Stat1	1.07375142850425	Stat1 All WT_infected
WT_infected	All	Stat1	2.31058260330452	Stat1 All WT_infected
WT_infected	All	Stat1	0.901664380069031	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.33164338647319	Stat1 All WT_infected
WT_infected	All	Stat1	1.12093388335599	Stat1 All WT_infected
WT_infected	All	Stat1	0.635487215033987	Stat1 All WT_infected
WT_infected	All	Stat1	1.55837903516945	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.544682282681057	Stat1 All WT_infected
WT_infected	All	Stat1	1.25106912565339	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.858500295260349	Stat1 All WT_infected
WT_infected	All	Stat1	1.18441502340425	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.2976948906219	Stat1 All WT_infected
WT_infected	All	Stat1	1.38783383387301	Stat1 All WT_infected
WT_infected	All	Stat1	1.68495824224465	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.17903590255675	Stat1 All WT_infected
WT_infected	All	Stat1	1.53787823599244	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.794350595821241	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.08831924450702	Stat1 All WT_infected
WT_infected	All	Stat1	0.443405884310432	Stat1 All WT_infected
WT_infected	All	Stat1	1.11966951978734	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.972162614637981	Stat1 All WT_infected
WT_infected	All	Stat1	0.729812239621986	Stat1 All WT_infected
WT_infected	All	Stat1	0.765877257631097	Stat1 All WT_infected
WT_infected	All	Stat1	1.07648960801712	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.74227429204333	Stat1 All WT_infected
WT_infected	All	Stat1	0.820990734021303	Stat1 All WT_infected
WT_infected	All	Stat1	1.55318002352297	Stat1 All WT_infected
WT_infected	All	Stat1	1.75679940136079	Stat1 All WT_infected
WT_infected	All	Stat1	0.445091119462986	Stat1 All WT_infected
WT_infected	All	Stat1	1.31720875898368	Stat1 All WT_infected
WT_infected	All	Stat1	1.20015041500615	Stat1 All WT_infected
WT_infected	All	Stat1	0.611718607782907	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.795415901610925	Stat1 All WT_infected
WT_infected	All	Stat1	1.17168291220225	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.938039747316968	Stat1 All WT_infected
WT_infected	All	Stat1	0.997105464151411	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.854757281691076	Stat1 All WT_infected
WT_infected	All	Stat1	1.26540536191054	Stat1 All WT_infected
WT_infected	All	Stat1	2.03680946690588	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.915945870677368	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.774034444936363	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.562957568655454	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.979217531812888	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.62801367013156	Stat1 All WT_infected
WT_infected	All	Stat1	1.83159513585076	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.736613758707948	Stat1 All WT_infected
WT_infected	All	Stat1	1.17919180683446	Stat1 All WT_infected
WT_infected	All	Stat1	1.65580383299203	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.399893788384785	Stat1 All WT_infected
WT_infected	All	Stat1	1.01639014308367	Stat1 All WT_infected
WT_infected	All	Stat1	0.481208045346433	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.477728325175731	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	2.39465482926292	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.32934023152993	Stat1 All WT_infected
WT_infected	All	Stat1	0.563870148586636	Stat1 All WT_infected
WT_infected	All	Stat1	0.954135117637544	Stat1 All WT_infected
WT_infected	All	Stat1	1.08351022882783	Stat1 All WT_infected
WT_infected	All	Stat1	0.89932298031648	Stat1 All WT_infected
WT_infected	All	Stat1	0.617684034197115	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.247765528657083	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.96597166119224	Stat1 All WT_infected
WT_infected	All	Stat1	1.55627230894315	Stat1 All WT_infected
WT_infected	All	Stat1	1.01118745854386	Stat1 All WT_infected
WT_infected	All	Stat1	2.45090458687554	Stat1 All WT_infected
WT_infected	All	Stat1	1.36146752594111	Stat1 All WT_infected
WT_infected	All	Stat1	1.09172666824295	Stat1 All WT_infected
WT_infected	All	Stat1	1.49959508275688	Stat1 All WT_infected
WT_infected	All	Stat1	2.10169697825792	Stat1 All WT_infected
WT_infected	All	Stat1	2.23682288879015	Stat1 All WT_infected
WT_infected	All	Stat1	1.21498096527204	Stat1 All WT_infected
WT_infected	All	Stat1	2.08767493677079	Stat1 All WT_infected
WT_infected	All	Stat1	1.48322936235793	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.745638936742246	Stat1 All WT_infected
WT_infected	All	Stat1	1.33560559035666	Stat1 All WT_infected
WT_infected	All	Stat1	1.13718246456198	Stat1 All WT_infected
WT_infected	All	Stat1	1.41558817244529	Stat1 All WT_infected
WT_infected	All	Stat1	3.29344629525082	Stat1 All WT_infected
WT_infected	All	Stat1	1.24188820281614	Stat1 All WT_infected
WT_infected	All	Stat1	1.53564386274411	Stat1 All WT_infected
WT_infected	All	Stat1	2.06387053636092	Stat1 All WT_infected
WT_infected	All	Stat1	1.07785165271537	Stat1 All WT_infected
WT_infected	All	Stat1	1.57920365747874	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.56518906670761	Stat1 All WT_infected
WT_infected	All	Stat1	1.94112545093198	Stat1 All WT_infected
WT_infected	All	Stat1	1.90862732886202	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	2.22780944158697	Stat1 All WT_infected
WT_infected	All	Stat1	2.37665352396504	Stat1 All WT_infected
WT_infected	All	Stat1	0.853285212758294	Stat1 All WT_infected
WT_infected	All	Stat1	1.41035595992982	Stat1 All WT_infected
WT_infected	All	Stat1	1.1651897711932	Stat1 All WT_infected
WT_infected	All	Stat1	0.540070114978889	Stat1 All WT_infected
WT_infected	All	Stat1	0.635111587421572	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.470401471892958	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.0887112176854	Stat1 All WT_infected
WT_infected	All	Stat1	0.92278965900266	Stat1 All WT_infected
WT_infected	All	Stat1	1.31841052988947	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.59628868737126	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	1.74904153928609	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.96597166119224	Stat1 All WT_infected
WT_infected	All	Stat1	1.19075138863334	Stat1 All WT_infected
WT_infected	All	Stat1	0.738777191288298	Stat1 All WT_infected
WT_infected	All	Stat1	2.13353080273192	Stat1 All WT_infected
WT_infected	All	Stat1	1.33715662181017	Stat1 All WT_infected
WT_infected	All	Stat1	0.89076288049855	Stat1 All WT_infected
WT_infected	All	Stat1	2.6193096458646	Stat1 All WT_infected
WT_infected	All	Stat1	1.60190731709212	Stat1 All WT_infected
WT_infected	All	Stat1	1.51006517540998	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.858108776491419	Stat1 All WT_infected
WT_infected	All	Stat1	1.55656757939767	Stat1 All WT_infected
WT_infected	All	Stat1	0	Stat1 All WT_infected
WT_infected	All	Stat1	0.617015288672112	Stat1 All WT_infected
WT_infected	All	Stat1	1.55804594130162	Stat1 All WT_infected
