UMAP_1	UMAP_2	genotype	cluster	expression
-1.8180288608691	0.453908756301178	WT	2	2.45819990192619
9.7008008424619	-0.270062491371857	WT	1	1.76624962176317
9.058066314874	-0.275962874367462	WT	1	3.29762970669044
-3.60882144528835	-0.119062945320831	WT	2	2.50606878209696
-7.28468137341945	-1.76327948279642	WT	0	3.66666377479371
9.08923143785984	-0.350055024101959	WT	1	2.02756662565114
-6.64957194882839	-1.97365002341531	WT	0	3.63875016989804
-8.65362935620754	-0.886441513970123	WT	0	3.28139529482301
-8.17672353345363	-2.05832295127176	WT	0	3.08882106708216
-2.68484263974636	0.240463927314056	WT	2	3.12714869868983
-6.05716376859157	0.0127396135780944	WT	0	4.2981948613244
10.4448365632871	-0.699549004509674	WT	1	2.13951488543604
9.71311468523533	-0.794925496056305	WT	1	1.31406596346533
9.4032229844907	0.20431156449057	WT	1	1.8365050696976
-6.58370881635158	-1.35168151564859	WT	0	3.81179326189807
-6.95128017026394	-0.509774252846466	WT	0	3.7988436968059
9.38403505724461	1.57144643358923	WT	1	1.30503299692721
-7.15761380750148	-1.00996880240701	WT	0	3.70430183771313
9.03833288591893	1.0571515112374	WT	1	2.71646720662301
-6.16318612653225	0.497946098372711	WT	0	3.53655810907754
-7.44205623227565	-0.200355574562775	WT	0	3.22710438395045
-8.57629304486721	-0.290554091408478	WT	0	3.06058174808397
-6.57216744977443	-2.28872017569803	WT	0	4.41912056761596
-7.2436423833987	-1.59059838958047	WT	0	3.49687704235005
-7.64095025617092	-1.82156758017801	WT	0	3.80274910301328
-8.00347047406643	-1.51297549910806	WT	0	3.86840223369796
-6.46420054990261	0.434625580832733	WT	0	3.19642741675581
-7.09716039258449	-1.89806084342264	WT	0	4.43272073710777
10.3736171190122	-0.29563002295755	WT	1	2.56817299318177
-8.52447133618801	-0.685620591118561	WT	0	2.69124308278583
8.91385454577	-0.147887274697052	WT	1	2.16414212624539
-2.38247876721828	0.776657298133148	WT	2	3.22763631369729
-7.64340358334987	-1.97332291312479	WT	0	3.77786173183703
-6.38920741635769	0.393635108992828	WT	0	3.18373232814034
-5.64695840436428	-0.736321255638825	WT	0	3.15068828827711
9.21045011919529	-0.182062670662628	WT	1	1.98749471708216
-3.86179285603969	0.063794568106903	WT	2	2.66223352490833
10.0693959657529	1.99952386312224	WT	1	1.71727650659118
9.26264089983494	0.69584901623465	WT	1	1.97099251113166
-7.65722041684597	-1.37248878188394	WT	0	3.83002084822012
-2.04548292714565	0.162692263648285	WT	2	3.22572279854801
-7.50631051618068	-1.21594791121744	WT	0	3.89306417185559
-2.34043746549099	0.0242042093727721	WT	2	2.01617808284176
-0.695028954329182	0.848037317321075	WT	2	1.54016355456629
-0.0402445282360808	0.771286562011017	WT	2	2.78059366209879
-0.690571420969655	0.459452941939606	WT	2	1.97746907935873
10.4115390245298	0.703236177489532	WT	1	1.04893152031334
-0.801255756201436	1.07236070923544	WT	2	1.91412681733137
-6.59007316190212	-2.17007927603983	WT	0	4.28998613163239
10.7770900194028	0.432314112708343	WT	1	1.31191085051638
10.3703479234555	0.372040107772125	WT	1	2.43490148914606
10.5176591340879	1.75618042044379	WT	1	1.74220953774252
-1.66345518189876	-0.0220454186942445	WT	2	2.78539601734907
-1.79338269788234	0.555471017882599	WT	2	1.53965980337245
-8.48416810590236	0.0642413645241393	WT	0	0
10.0644902650693	-0.819040104820953	WT	1	1.98184005539436
-8.77746110516994	-0.898008868172394	WT	0	3.20489120513072
-7.6026192243716	-1.29948858924173	WT	0	3.69836317377459
-7.87631850797146	-0.326916262581574	WT	0	3.64463322321941
-2.78144460278957	0.405092671439423	WT	2	2.53733801268595
9.96273416918309	-0.300331160500275	WT	1	2.33340407528209
-8.21463018018215	-2.33793358512186	WT	0	2.94399124366731
9.91657251757176	-0.190236851647125	WT	1	2.76139334025703
-1.05667775231807	0.306681111380829	WT	2	2.96346534440249
-1.42998354989498	0.553879097029938	WT	2	2.66824395070179
-7.18714862424343	-0.0133541078116761	WT	0	3.83847431740533
-7.80252175885647	-0.543398663475739	WT	0	3.48215348566929
-8.07475286084621	-0.840705677941071	WT	0	3.93302197683983
-8.28273587781398	-1.79758219428323	WT	0	3.33784486680696
-6.66155677396267	-1.48975615210794	WT	0	4.03725257643802
-6.63828187543361	0.38060756020285	WT	0	3.37917181302067
-7.56174188214748	-0.182639405205475	WT	0	3.92432270355368
-1.81290023881405	1.05064781002737	WT	2	3.81396679067743
-1.21615975457637	-0.509401127770172	WT	2	2.42362884761329
-7.40001874524563	-0.968931958153473	WT	0	3.79446943828161
-6.43833833295314	-2.04708723731302	WT	0	3.88995335487522
-8.76394754010646	-1.42720799155496	WT	0	3.50442765577567
9.85400003832371	1.84494544558264	WT	1	2.79796943760772
-6.65948110181301	-0.646530434563385	WT	0	3.88820263362634
-2.33050494748562	0.645079329535736	WT	2	3.05025475493917
-1.61674123364895	1.27976115040518	WT	2	2.49957744241303
-7.16650920468776	0.0249130278084411	WT	0	3.05169349749637
-2.44992285329311	1.27842696003653	WT	2	3.74624598077565
10.3731316987851	0.834257557914032	WT	1	2.08477785337082
-1.43147736150234	0.837594106719269	WT	2	1.66350363273137
8.80450910967381	1.27257437996603	WT	1	2.03580607547584
-7.27202945310085	-2.14246277518533	WT	0	4.29814554905552
-0.881004327120472	0.27364225678183	WT	2	2.71454535258987
-6.41005092221706	-1.85117535300516	WT	0	4.01394237880963
10.8514460985044	1.02307148270346	WT	1	1.87843203544026
-6.85722356397121	-0.814723774864899	WT	0	4.15175546943544
-0.150476941051175	0.653119876906647	WT	2	2.88457549779573
-2.36361365872829	1.41681148104407	WT	2	3.65120418865614
-8.60867505628078	-2.02428106971048	WT	0	3.56503412378201
-6.76278262692898	-0.369729563667999	WT	0	3.86944875216113
9.97543425005467	-0.781011626198517	WT	1	2.44605060952607
7.60700458925755	1.46384181074835	WT	2	0.912586802673966
-2.51188283521145	-0.17469029135965	WT	2	2.02081916795289
-8.47630029279201	-1.50995139785074	WT	0	3.14365583408135
-0.584663563551594	-0.15320329375528	WT	2	3.11914464076117
9.89254278582127	1.28697486214377	WT	1	1.04389735703126
-6.57801776486843	0.322352364585174	WT	0	3.68609781115206
-7.13862805921047	-1.17492942519449	WT	0	3.83643799690173
-0.420698666157414	0.630516007468475	WT	2	2.23108496307721
-1.94062989312618	0.148547366187347	WT	2	2.14610018256805
10.4547538225034	0.233556225821747	WT	1	2.29285126291942
0.492528623757671	0.729474738166107	WT	2	2.68266252412226
9.24219316881688	1.21613986782767	WT	1	1.89036232580803
7.45926422518284	1.05866105847098	WT	2	1.54893374296269
-4.57895713407009	-0.0956249684836732	WT	0	3.38389929066002
-8.4688768919131	-2.11572413153909	WT	0	3.79542565195769
-2.45825987416713	0.91348440937735	WT	2	3.54391583439907
9.88725180071385	1.84479354314543	WT	1	2.17877265349197
9.60780233782322	1.76010926060416	WT	1	2.17498474260402
10.1808795396665	-0.560025736763702	WT	1	2.18117354635732
9.34702867907078	1.58615590624548	WT	1	2.00437165678126
-8.06630807477443	-1.08899049468301	WT	0	3.67833017849706
10.3752145234922	1.30729080729224	WT	1	2.36266730674124
-1.97675912934749	-0.331604763939606	WT	2	2.87827913465054
9.08972448748143	0.819732025191559	WT	1	1.11180651799349
-6.33109765607326	-0.147914931252228	WT	0	3.63588844370324
-7.26340966779201	-1.73064951606058	WT	0	4.01743664243165
-1.12534468728511	0.70714040093161	WT	2	3.09887457810009
10.0632514421323	-0.585321709587799	WT	1	1.6351524889453
-6.82200961667507	-1.43076543517374	WT	0	3.53030936989726
-8.52502446729152	-1.09568242736124	WT	0	3.37024786165056
-8.84411721784084	-1.68895272918008	WT	0	3.32570626200855
-8.16131597119777	-1.21868662543558	WT	0	3.68663959341219
-2.03154187756984	0.310028985068573	WT	2	0.866570865018451
-5.88294845181911	-0.753461167290436	WT	0	3.66200394956545
-2.37084513265102	-0.309048220589386	WT	2	2.71690208043231
10.6675118867734	1.07540698342062	WT	1	1.07530090620297
9.20624536913426	1.51105077557303	WT	1	0.917432250217343
-1.71820526677578	0.889252021834625	WT	2	1.80326823613641
9.51667875689061	1.27817721657492	WT	1	1.94023171180068
9.46474069994481	0.689627364203705	WT	1	2.13769839486445
-1.04391794759243	-0.362413451149689	WT	2	3.02549407584698
-2.0292447145602	0.984383061454071	WT	2	3.07086504235906
10.3001145784238	1.29242129616476	WT	1	2.3661136239261
9.55222887438328	1.0706921368096	WT	1	1.31288974875672
-1.35563688832729	1.30504746727682	WT	2	3.48829596630904
-1.32782476502865	0.671439841315521	WT	2	2.25241099290351
9.74695677202732	0.0915576963875426	WT	1	1.88611995833726
-8.64884095746486	-2.08106760688089	WT	0	3.81328322243876
-0.248939001145054	0.884332492873444	WT	2	2.75552828114123
-2.85678821164577	0.978606775328888	WT	2	3.23217108038477
10.1719283525327	1.80872727923132	WT	1	1.61387933189014
-1.22359829503505	-0.178002640679108	WT	2	2.21465734499185
-5.84922366696804	-0.290095374062286	WT	0	3.7428448500335
-2.29923301297634	-0.249307915642487	WT	2	1.69532172632394
-2.11447649556606	-0.160030886605011	WT	2	0.944714856304272
8.95933908861668	1.24076171211935	WT	1	1.26115932344827
-0.52796571809261	0.546508982703461	WT	2	1.92921201569377
10.5286511842588	-0.0899355859305726	WT	1	1.58109165405374
-5.75168662625759	-0.300941273644196	WT	0	3.35766903134106
